# ,Skx,Sky,RMSx,RMSy,Kx,Ky,CFx,CFy,P2Px,P2Py,filename
21110.0,-0.6125487625405031,-0.14241050551753595,7.326541395054661,2.5898617627207283,-0.8187004655708665,-1.035156983361671,2.1820091006092963,2.0430318236141938,31.99804,10.87695,_20_07_04_08_38_36_1400.txt
21111.0,-0.65653878728689,-0.10382944270949236,7.289333087864332,2.70484583061415,-0.8333145083224132,-1.0658123990914636,2.193147138057843,2.1200949551708623,31.96875,11.535160000000001,_20_07_04_08_39_03_1400.txt
21112.0,-0.6336169836006651,-0.11144113215723284,7.4271619320389695,2.7273481683871093,-0.7421685108650111,-1.039241319206279,2.1524480206951977,2.103317818565285,31.986330000000002,12.38476,_20_07_04_08_40_24_1400.txt
21113.0,-0.6522302990124476,-0.08527028310844109,7.156623916248966,2.708840565007252,-0.7739925149001139,-1.1037907732942647,2.2338158588580854,2.085966251758664,31.986330000000002,11.67188,_20_07_04_08_41_18_1400.txt
21114.0,-0.6383868244069195,-0.16154085952120947,7.273666490382231,2.7526004810052584,-0.7288950705261854,-1.094034729648857,2.1978709116150177,1.9931988088574046,31.99804,11.847650000000002,_20_07_04_08_42_12_1400.txt
21115.0,-0.5820593361365113,-0.25376990791118764,7.583245910710029,2.7673640878267047,-0.6351818048702746,-1.0769713183279253,2.108144742796974,1.9169288288936541,31.99804,11.49609,_20_07_04_08_43_06_1400.txt
21116.0,-0.6582762601503989,-0.04053455497151635,7.030154755355721,2.763977864006071,-0.8443851670494622,-1.1264821122433966,2.2740011502337247,2.0259822167619577,31.98437,11.89454,_20_07_04_08_44_00_1400.txt
21117.0,-0.5985552089594519,-0.13842578632365823,7.1315039655459564,2.7560196518787743,-0.8241700137094119,-1.0736085535536204,2.2416842334008487,2.0814365369599055,31.99609,12.37304,_20_07_04_08_45_22_1400.txt
21118.0,-0.6161106549285565,-0.15521461438935008,7.189960215993006,2.728499569371311,-0.7261620250449572,-1.124061116042545,2.2234587563419628,2.0623459366338013,31.98828,11.972660000000001,_20_07_04_08_46_16_1400.txt
21119.0,-0.6310522139888285,-0.05561039055511531,7.018288151718439,2.735145040529176,-0.8404322564782558,-1.1228988602321075,2.2778460579572615,2.067330951818927,31.99804,11.70898,_20_07_04_08_47_09_1400.txt
21120.0,-0.579238410230997,-0.26051862251196367,7.403302289936813,2.7372400189177313,-0.6723114843127194,-1.087206409327844,2.1593850114333835,1.9758442674451306,31.99804,11.722660000000001,_20_07_04_08_48_03_1400.txt
21121.0,-0.638914741137849,-0.07930120342947752,6.884327921682813,2.733363549207919,-0.9230979458177084,-1.0758581057915013,2.322170033424588,1.9579246974120348,31.98437,11.025390000000002,_20_07_04_08_49_22_1400.txt
21122.0,-0.6109134511310257,-0.14509337118804616,6.993148040484644,2.721741882271322,-0.7895108392911805,-1.1290745612120676,2.286034831159114,1.9390156114274404,31.99414,11.4043,_20_07_04_08_50_15_1400.txt
21123.0,-0.6152547811848219,-0.09691846154198527,6.768706180861765,2.6727174052342235,-0.8654029789239504,-1.1356503161741875,2.3618368965698924,1.9870039344973685,31.94531,11.69922,_20_07_04_08_51_08_1400.txt
