,rms1y,kurt1y,skew1y,crest1y,HI,HIs,HIss
1019,15.053063869476318,9.02039670944214,-3.2033604383468632,1.2237857282161713,6.623980569775664,2.041654063539442,0.6420935026126918
1020,15.057711601257324,8.878519773483275,-3.1957335472106934,1.2171517312526705,6.5340113317080935,2.266271926947875,0.6550016735836189
1021,15.011175155639648,8.596968173980713,-3.126103520393372,1.2039110362529757,6.303512807929894,2.4681339709969765,0.6666021301883931
1022,14.857184410095215,8.048485279083254,-2.957320094108581,1.2198152840137482,5.8024601690094295,2.6348502808975995,0.6761828580930399
1023,14.942749500274658,9.162903070449827,-3.1666260361671448,1.2628028392791748,6.6286573761779835,2.834540635661619,0.6876585136861662
1024,14.111964225769045,4.716262385249138,-2.3172250986099243,1.2908636629581451,2.9749244379128226,2.8415598257741794,0.6880618872410362
1025,10.408120870590212,2.659643903374672,-1.1057001296430826,1.7537011802196505,-1.3086891215386456,2.634047378408537,0.676136717494761
1026,1.3038304746150968,1.1686513647437096,-0.8533481098711491,0.37010117061436176,-9.062941094520221,2.0491979547620978,0.642527029297571
1027,0.3874820023775101,2.082698494195938,-0.31679314840584993,-0.6238547936081886,-9.283410396428925,1.4825675372025453,0.6099643372827919
1028,0.2727690860629082,1.6419584155082705,0.6356617286801338,-0.7268846333026886,-9.846493951204708,0.916114462782181,0.5774118366905755
1029,2.5924175232648845,1.5385616570711136,0.4153013154864311,0.9935096949338912,-8.111643258108696,0.46472657673763595,0.5514718160757698
1030,6.4706315994262695,-0.9374533072113992,0.11365207936614752,2.354482769966125,-6.757059096606124,0.10363729307044708,0.5307210078425423
1031,12.69514226913452,-2.361466765403748,-0.3090933356434107,1.416022002696991,-3.0393783287021923,-0.05351348801818527,0.5216899845760702
1032,15.564411401748655,7.960447430610657,-3.013066589832306,1.1679621934890747,6.2756703107398675,0.26294570191971817,0.5398760240435181
1033,14.760192632675171,6.069298267364503,-2.604621082544327,1.2065751552581787,4.38126482317925,0.46886165798269525,0.551709447824554
1034,15.27857780456543,7.19644632935524,-2.6691363155841827,1.1596418917179108,5.502537911961566,0.7205454706816394,0.5661730244770723
1035,15.403285026550293,8.729067921638489,-3.005576610565185,1.0792157053947449,6.649596964194755,1.016998045357296,0.5832093387782494
1036,13.708008766174315,-0.7413326576352121,-1.0021280944347382,1.199637934565544,-1.1147152488183598,0.9104123806485128,0.5770841537095571
