,loadNum,pwm,rms1xr,rms1yr,rms1zr,kurt1xr,kurt1yr,kurt1zr,skew1xr,skew1yr,skew1zr,crest1xr,crest1yr,crest1zr,p2p1xr,p2p1yr,p2p1zr,rms1xp,rms1yp,rms1zp,kurt1xp,kurt1yp,kurt1zp,skew1xp,skew1yp,skew1zp,crest1xp,crest1yp,crest1zp,p2p1xp,p2p1yp,p2p1zp,rHI,rHIs,rHIss,pHI,pHIs,pHIss,pHIsm,rHIsm
1578,6.0,178.70489795918365,8.631390632065866,15.38758183459441,11.531538618487431,-0.6782595608453215,4.272830749068612,-1.1574620355734662,-0.2983931446922252,-2.3914286606302406,-0.33336763134821856,1.861499748073644,1.0410658796690246,1.3950890948597945,26.91162125,31.888061250000003,31.9591065,8.874056577682495,15.66782522201538,12.076488494873047,-0.5902737900614738,7.1575369238853455,-1.5314476191997528,-0.3613416627049446,-2.7428611516952515,-0.23024805076420307,1.7445766627788544,1.004689633846283,1.3119543492794037,25.217366218566895,32.00847339630127,32.76143550872803,0.9007168130679166,3.9172810419685136,0.915444472173682,3.667499286738831,5.236109740398679,0.91727889024548,0.91727889024548,0.8149499076468433
1579,6.0,191.03,9.500011262266984,15.991235251518106,11.642329069241748,-0.45653204917638546,20.04122956258678,-1.2877082985513226,-0.4004904521567885,-4.694782514436793,-0.22745007380428445,1.686791674506749,1.0005481361023247,1.3774365177544752,25.077758999999997,31.875488,31.95361325,9.061306238174438,16.26612901687622,12.031612396240234,-0.5365932807326317,24.620279788970947,-1.4891820847988129,-0.2508120536804199,-5.197620272636414,-0.15120725519955158,1.6702469885349274,1.0742242932319641,1.415249228477478,26.729200839996338,29.689973831176758,32.31246089935303,16.318178384138378,4.041290085061208,0.9264958423334674,20.583300965590134,5.389581738874524,0.9291869064117239,0.9291869064117239,0.824571869337403
1580,6.0,156.16,7.65651835665808,15.146633709766174,11.741298721608377,0.013093014577429174,4.454307468508751,-1.1449709163626829,-0.15825923883213425,-2.3688549490879613,-0.36707583877388766,1.8769713374115633,1.057230709811822,1.3793340312127473,26.9759525,31.893920750000003,31.94873025,8.675432920455933,15.430232524871826,12.30322265625,-0.6061661764979362,10.451247870922089,-1.4399854838848114,0.057565756142139435,-3.1117627024650574,-0.1663335282355547,1.7712565660476685,1.1341027319431305,1.3448361158370972,26.80648136138916,30.552518367767334,32.62539005279541,0.9976374604571772,4.0108535418862505,0.9237834151054037,6.730560343944937,5.402991532383804,0.9302273831076706,0.9302273831076707,0.822210273399568
1581,6.0,147.87666666666667,6.954879205675429,14.09714824190426,12.4521178844783,-0.24170951541998664,0.8590697820929932,-1.2421878616141349,0.20841855651283026,-1.4215343820658004,-0.22993153953055848,2.253739579847201,1.1350842017937908,1.2891529642180717,26.300048999999998,31.91467275,31.957031,7.1195597648620605,14.854421377182007,12.559189081192017,-0.13367877062410116,2.7236068099737167,-1.6024914681911469,0.08156651072204113,-1.8085100948810577,-0.24210995435714722,2.1478191018104553,1.17444908618927,1.2287136614322662,25.567078113555908,33.02215909957886,32.731319427490234,-2.8592129605485703,3.9421528390324343,0.9176609833976819,-0.8932827594230586,5.340028754795807,0.9253420504031025,0.9253420504031026,0.8168797304448914
1582,6.0,210.995,8.671700016879624,14.63897858098426,13.058195226171147,-0.423464246830513,1.5404944858736669,-1.0203574538820872,-0.20860386716559604,-1.6813586953993125,-0.6505804634379434,1.7876079453444818,1.095703653338214,1.230487753367524,29.890503,28.610352,31.979492,8.796462893486023,15.107623815536499,13.191025733947754,-0.5100871585309505,2.2253813594579697,-1.095541074872017,-0.23430141992866993,-1.9247118532657623,-0.5275061447173357,1.8011580109596252,1.103535234928131,1.2763234376907349,29.454214572906494,29.72385835647583,32.50204610824585,-2.014482779536439,3.882586450375009,0.9123525785127028,-1.256174459234289,5.274066686697259,0.9202240003283195,0.9202240003283196,0.8122579262972832
1583,6.0,197.58499999999998,8.503357304235196,15.693702499480217,12.180939605456494,-0.2830686398002147,15.720094024328773,-1.4419495360395318,-0.33158510698204413,-4.0506172072272255,-0.19734995420638052,1.818748213737485,1.0195654894197195,1.3201355878687087,25.824829249999997,17.24853525,31.90051275,8.396942973136902,15.757049322128296,12.039653301239014,-0.17723823245614767,16.177701711654663,-1.5147243738174438,-0.3796259332448244,-4.05169802904129,-0.04846176295541227,1.8138553202152252,0.9670227468013763,1.4482647776603699,25.98941707611084,18.271082878112793,32.17763614654541,12.052791778717783,3.9642885477517416,0.9196336613952325,12.345121999887501,5.344777277990528,0.9257104921483725,0.9257104921483725,0.8185972579411028
1584,6.0,192.14,10.254485537933888,15.82853474201442,13.001072219407822,-0.11740712327860958,13.343796886450587,-1.2884303424840235,-0.6730040217028852,-3.300685436672914,-0.4923289635083992,1.56779323963901,1.010887521486774,1.2328987652545864,26.088257,22.254638500000002,31.958496,9.428373575210571,16.031126260757446,12.556612253189087,-0.47195106744766235,15.487291723489761,-1.6053174138069153,-0.32649981416761875,-3.789237767457962,-0.2300589382648468,1.6133142709732056,1.0548771023750305,1.3385705649852753,26.760879039764404,22.131828665733337,32.587504386901855,9.718654889267,4.021832241911744,0.9247618088969297,11.736833894231337,5.408697878304885,0.9306701430909461,0.9306701430909462,0.8230621195909662
1585,6.0,193.45000000000002,9.638603140855203,15.580537246789476,11.974790589634807,-0.7657719041886722,10.984988318226607,-1.278097595774979,-0.3617655040424293,-3.372467819211061,-0.25626527303279306,1.6967135417099704,1.0273567206612761,1.3405550844864058,27.109863750000002,31.917724500000002,31.59436025,9.43093490600586,16.071598529815674,12.391296148300171,-0.6061201617121696,20.030439853668213,-1.536199539899826,-0.3606841117143631,-4.514579176902771,-0.15150975994765759,1.6130132377147675,1.1092690825462341,1.427853524684906,26.447768211364746,27.99037218093872,32.39334201812744,7.445196420951145,4.056065901809833,0.9278126254988706,16.118098383898783,5.5157919400076025,0.9389796577302918,0.9389796577302919,0.8257183368784495
1586,6.0,195.1515306122449,10.205623077852355,15.84321343090077,12.42908027539136,-0.4841670666840709,29.384047498142515,-1.1301521433211796,-0.5550792374868538,-5.361259936065748,-0.46107572445684875,1.5737979158647435,1.0099418365627602,1.288758206137579,26.114990499999998,25.82385225,31.94775375,9.352944135665894,16.087536334991455,12.275460958480835,-0.4426087439060211,23.206395626068115,-1.4585007429122925,-0.42179863154888153,-4.875892281532288,-0.19288619235157967,1.6111333966255188,1.1222547888755798,1.4340080916881561,26.484132289886475,26.7067928314209,32.24400615692139,25.17646543758484,4.267270007765611,0.9466345976387504,19.14959208930342,5.652130012894636,0.9495582387883137,0.9495582387883137,0.8421058338360415
1587,6.0,192.75774234693878,9.93913372612776,15.748190986333354,12.862322085419708,-0.4947086044594007,14.355746366628898,-1.3836998324611454,-0.5325673720638088,-3.9396526593469416,-0.283102873133851,1.622310217385225,1.0166801826057394,1.244348685379384,28.683105749999996,30.0081785,31.984375,9.505341053009033,16.194016933441162,12.370628595352173,-0.3312075138092041,22.445464611053467,-1.5381444990634918,-0.460429310798645,-4.7714844942092896,-0.21271077916026115,1.6058859825134277,1.112200289964676,1.4175780415534973,26.733767986297607,26.78330898284912,32.38080978393555,10.766087073875356,4.332258212117775,0.9524261809330323,18.454198649032925,5.780150765624304,0.959491472265817,0.9594914722658169,0.8471483210371354
